epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5323.77,2.37389,4.1269,2.71195,0.28449,0.13577,0.08933,0.05203,1.69436,2.66908,1.89408,0.00999966,0.00333322,0.00999966,0.00333322,0.00999966,0.00333322,0.00999966,0.00333322
2,9529.12,1.61453,2.82313,1.79924,0.34778,0.22095,0.18852,0.11846,1.47127,2.19817,1.66239,0.0196037,0.00653456,0.0196037,0.00653456,0.0196037,0.00653456,0.0196037,0.00653456
3,13444.1,1.50576,2.48492,1.67358,0.44039,0.20576,0.21414,0.13963,1.41902,2.28767,1.62355,0.0288117,0.00960389,0.0288117,0.00960389,0.0288117,0.00960389,0.0288117,0.00960389
4,17245.2,1.43163,2.28582,1.59344,0.62489,0.10969,0.16453,0.10777,1.49286,3.01021,1.76801,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,21056.4,1.3683,2.10824,1.53091,0.07722,0.34107,0.13827,0.09118,1.54316,3.35296,1.85189,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,24890.4,1.32717,1.99376,1.49224,0.07961,0.34305,0.14356,0.09498,1.53017,3.34547,1.83247,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,28663.4,1.30417,1.91969,1.46586,0.36874,0.19307,0.16927,0.1128,1.47614,3.12971,1.75805,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,32430.4,1.28103,1.85899,1.44219,0.69899,0.11493,0.20554,0.13839,1.41182,2.83336,1.66956,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,36195.8,1.2639,1.80948,1.42464,0.65222,0.167,0.24729,0.16783,1.34863,2.5257,1.58479,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,39963.1,1.25029,1.77517,1.40992,0.62197,0.22342,0.28981,0.19791,1.29616,2.25089,1.51444,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,43726.7,1.23872,1.74382,1.39892,0.58897,0.26902,0.32694,0.22473,1.25143,2.02508,1.45607,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,47496.7,1.22822,1.71789,1.38723,0.56828,0.31079,0.35847,0.24835,1.21612,1.84554,1.41018,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,51268.7,1.22088,1.69376,1.37862,0.55929,0.34501,0.38471,0.2679,1.18922,1.70969,1.3744,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,55043.6,1.21437,1.66969,1.37064,0.56325,0.37214,0.40555,0.28354,1.16727,1.60494,1.34673,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,58822.1,1.20655,1.65323,1.36331,0.56404,0.39151,0.42271,0.29627,1.14894,1.52515,1.3241,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,62601.5,1.19824,1.63053,1.35435,0.56984,0.40443,0.43646,0.30662,1.13391,1.46325,1.30536,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,66377.7,1.19472,1.61462,1.34815,0.5739,0.41953,0.44845,0.31546,1.12246,1.41409,1.29057,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,70159.9,1.188,1.59905,1.34312,0.57431,0.42757,0.45846,0.32368,1.11251,1.37524,1.27854,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,73936.7,1.18281,1.58278,1.33698,0.58155,0.43586,0.46718,0.33069,1.104,1.34331,1.26825,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,77716.7,1.17716,1.57026,1.33244,0.59858,0.43666,0.47468,0.33689,1.09711,1.31805,1.2599,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,81488.8,1.17134,1.55599,1.32631,0.60551,0.44261,0.48108,0.34197,1.0907,1.29537,1.25217,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,85264.1,1.16843,1.54615,1.32279,0.60119,0.44906,0.48681,0.34628,1.08456,1.27593,1.24462,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,89067.5,1.16106,1.52831,1.3167,0.61784,0.44879,0.49271,0.35091,1.07932,1.25871,1.23796,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,92844.2,1.15937,1.51976,1.31331,0.61711,0.45483,0.49789,0.35527,1.07484,1.24391,1.23247,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,96602.7,1.15472,1.50373,1.30799,0.62381,0.457,0.50272,0.35921,1.07066,1.23049,1.2275,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,100400,1.1495,1.49295,1.30234,0.62728,0.46122,0.50668,0.36222,1.06703,1.21882,1.22296,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,104207,1.14596,1.48108,1.3001,0.63414,0.46284,0.50982,0.36508,1.06396,1.20816,1.21916,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,107979,1.14105,1.46806,1.29591,0.63763,0.46424,0.5134,0.36835,1.06082,1.19838,1.21544,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,111835,1.13756,1.46068,1.29277,0.64088,0.46761,0.51668,0.37081,1.05788,1.19066,1.21215,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,115605,1.13006,1.44328,1.2878,0.64443,0.46803,0.51942,0.37328,1.05461,1.18288,1.20847,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
